ATTDATE,ATTADDRESS,LOCATIONTYPE,STATUSCOLOR,SOURCE,SEQ,ID,_first_seen,_last_seen
2026-09-07 08:11:00,,手动补录,,manual,1,,2026-09-17T18:33:31+08:00,2026-09-17T18:33:31+08:00
2026-09-07 12:30:00,,手动补录,,manual,2,,2026-09-17T18:33:31+08:00,2026-09-17T18:33:31+08:00
2026-09-07 19:31:00,,手动补录,,manual,3,,2026-09-17T18:33:31+08:00,2026-09-17T18:33:31+08:00
2026-09-08 08:10:00,,手动补录,,manual,1,,2026-09-17T18:33:31+08:00,2026-09-17T18:33:31+08:00
2026-09-08 12:30:00,,手动补录,,manual,2,,2026-09-17T18:33:31+08:00,2026-09-17T18:33:31+08:00
2026-09-08 20:06:00,,手动补录,,manual,3,,2026-09-17T18:33:31+08:00,2026-09-17T18:33:31+08:00
2026-09-09 08:09:00,,手动补录,,manual,1,,2026-09-17T18:33:31+08:00,2026-09-17T18:33:31+08:00
2026-09-09 12:35:00,,手动补录,,manual,2,,2026-09-17T18:33:31+08:00,2026-09-17T18:33:31+08:00
2026-09-09 19:01:00,,手动补录,,manual,3,,2026-09-17T18:33:31+08:00,2026-09-17T18:33:31+08:00
2026-09-10 08:13:00,,手动补录,,manual,1,,2026-09-17T18:33:31+08:00,2026-09-17T18:33:31+08:00
2026-09-10 12:30:00,,手动补录,,manual,2,,2026-09-17T18:33:31+08:00,2026-09-17T18:33:31+08:00
2026-09-10 19:01:00,,手动补录,,manual,3,,2026-09-17T18:33:31+08:00,2026-09-17T18:33:31+08:00
2026-09-11 08:13:00,,手动补录,,manual,1,,2026-09-17T18:33:31+08:00,2026-09-17T18:33:31+08:00
2026-09-11 12:31:00,,手动补录,,manual,2,,2026-09-17T18:33:31+08:00,2026-09-17T18:33:31+08:00
2026-09-11 17:36:00,,手动补录,,manual,3,,2026-09-17T18:33:31+08:00,2026-09-17T18:33:31+08:00
2026-09-14 08:12:00,,手动补录,,manual,1,,2026-09-17T18:33:31+08:00,2026-09-17T18:33:31+08:00
2026-09-14 12:36:00,,手动补录,,manual,2,,2026-09-17T18:33:31+08:00,2026-09-17T18:33:31+08:00
2026-09-14 19:08:00,,手动补录,,manual,3,,2026-09-17T18:33:31+08:00,2026-09-17T18:33:31+08:00
2026-09-15 07:58:00,,手动补录,,manual,1,,2026-09-17T18:33:31+08:00,2026-09-17T18:33:31+08:00
2026-09-15 12:30:00,,手动补录,,manual,2,,2026-09-17T18:33:31+08:00,2026-09-17T18:33:31+08:00
2026-09-15 20:05:00,,手动补录,,manual,3,,2026-09-17T18:33:31+08:00,2026-09-17T18:33:31+08:00
2026-09-16 08:05:00,,手动补录,,manual,1,,2026-09-17T18:33:31+08:00,2026-09-17T18:33:31+08:00
2026-09-16 12:31:00,,手动补录,,manual,2,,2026-09-17T18:33:31+08:00,2026-09-17T18:33:31+08:00
2026-09-16 19:03:00,,手动补录,,manual,3,,2026-09-17T18:33:31+08:00,2026-09-17T18:33:31+08:00
2026-09-17 07:59:01,深圳坪山1号门,工业园打卡,"[255,153,0]",,,1,2026-09-17T09:50:01+08:00,2026-09-17T22:12:52+08:00
2026-09-17 12:30:10,深圳坪山六角大楼A区停车场,工业园打卡,"[255,153,0]",,,1,2026-09-17T22:12:52+08:00,2026-09-17T22:12:52+08:00
2026-09-17 20:07:30,深圳坪山中央大道北路,工业园打卡,"[255,153,0]",,,1,2026-09-17T22:12:52+08:00,2026-09-17T22:12:52+08:00
2026-09-18 08:06:34,深圳坪山中央大道北路,工业园打卡,"[255,153,0]",,,1,2026-09-18T21:21:20+08:00,2026-09-18T23:05:52+08:00
2026-09-18 12:30:13,深圳坪山六角大楼A区停车场,工业园打卡,"[255,153,0]",,,1,2026-09-18T21:21:20+08:00,2026-09-18T23:05:52+08:00
2026-09-18 17:31:41,深圳坪山六角大楼A区停车场,工业园打卡,"[255,153,0]",,,1,2026-09-18T21:21:20+08:00,2026-09-18T23:05:52+08:00
